YardsFromOwnEndZone,first_down_ep
1,6.271590530079248
2,5.9809135281484
3,5.766786749523234
4,5.588283026418409
5,5.417759368587592
6,5.298567630191573
7,5.166353784160148
8,5.061915641973351
9,4.932391879477086
10,4.8538284535695935
11,4.413214624012452
12,4.410661103051114
13,4.365894589599974
14,4.319363348690322
15,4.302126988152317
16,4.279042169169431
17,4.225957659642708
18,4.214730860043967
19,4.189304173631873
20,4.140209307639595
21,4.129501005641701
22,4.080510477176779
23,4.044605729032837
24,4.010079770985931
25,3.960504526822458
26,3.9290134152597194
27,3.8924174861980028
28,3.8532715679150087
29,3.8021319116563657
30,3.757360392783072
31,3.7254429325298184
32,3.6734427494865836
33,3.6334189062394042
34,3.580441234396445
35,3.540225334646961
36,3.49940208112405
37,3.4489063121857826
38,3.4027095858565044
39,3.330089578608282
40,3.30515289811807
41,3.2396338377134937
42,3.1844545336326022
43,3.1351366007798758
44,3.0687197523126617
45,3.012830456551703
46,2.97089559688664
47,2.9171935700544385
48,2.8687417877482697
49,2.812569114528597
50,NA
51,2.6737651359754233
52,2.598845723627613
53,2.5370815206896067
54,2.470347328919311
55,2.3887796253962477
56,2.3310873430900143
57,2.2628976273533308
58,2.184693148101555
59,2.1188623003498663
60,2.054635102892276
61,1.9969973643311303
62,1.9082182314186877
63,1.8545832595852205
64,1.7647337168339732
65,1.6898892891897295
66,1.6124239116892176
67,1.5281938961633115
68,1.4610512641207445
69,1.3741801129549491
70,1.3018032220682156
71,1.2189314480296969
72,1.1339345897354467
73,1.0599010851096806
74,0.9760533698662638
75,0.8842320710394371
76,0.8112784758704661
77,0.7277481883470971
78,0.6461011037583387
79,0.5648029412378924
80,0.4753996725977649
81,0.40104477621483137
82,0.3207325538690589
83,0.23842587168397839
84,0.15624077735001943
85,0.08333995350721048
86,0.0031405249965958614
87,-0.07550390028333488
88,-0.17000599860778878
89,-0.23628410869556632
90,-0.32487463348293283
91,-0.3935654222972153
92,-0.4759824843029941
93,-0.5360194114079146
94,-0.6045814690977165
95,-0.6641812111653255
96,-0.7377348342323948
97,-0.7983991336942967
98,-0.8428773075638758
99,-0.9212982231966262
NA,NA
