yardline_100,value,fourthvalue
1,6.271590530079248,3.2869066282173725
2,5.9809135281484,2.9788102708498383
3,5.766786749523234,2.9496044749104557
4,5.588283026418409,2.9288225286398046
5,5.417759368587592,2.9056994576845745
6,5.298567630191573,2.8818276368994886
7,5.166353784160148,2.8639028261469215
8,5.061915641973351,2.861231941871362
9,4.932391879477086,2.837452617007561
10,4.8538284535695935,2.8177795588091827
11,4.413214624012452,2.7942109020623
12,4.410661103051114,2.776189406811147
13,4.365894589599974,2.744023863833684
14,4.319363348690322,2.7238001479182405
15,4.302126988152317,2.6742606903764514
16,4.279042169169431,2.639738775172348
17,4.225957659642708,2.591056578041217
18,4.214730860043967,2.5244986816425747
19,4.189304173631873,2.451692959685879
20,4.140209307639595,2.384892625448842
21,4.129501005641701,2.312858766073454
22,4.080510477176779,2.2465653451463132
23,4.044605729032837,2.171642240099846
24,4.010079770985931,2.106873231699403
25,3.960504526822458,2.042130911001281
26,3.9290134152597194,1.9870621555465189
27,3.8924174861980028,1.9103787300988617
28,3.8532715679150087,1.8375522783318017
29,3.8021319116563657,1.7450189273817347
30,3.757360392783072,1.666441174020464
31,3.7254429325298184,1.5867409804853734
32,3.6734427494865836,1.4892059327717018
33,3.6334189062394042,1.4101322898964392
34,3.580441234396445,1.3375543879455503
35,3.540225334646961,1.2649699372588934
36,3.49940208112405,1.2114564459284842
37,3.4489063121857826,1.167606213973681
38,3.4027095858565044,1.120658374823355
39,3.330089578608282,1.0649152324432642
40,3.30515289811807,1.006719186738737
41,3.2396338377134937,0.9429457970437803
42,3.1844545336326022,0.857550379387702
43,3.1351366007798758,0.7999426217794294
44,3.0687197523126617,0.7087094427576878
45,3.012830456551703,0.6412410013823752
46,2.97089559688664,0.559985808808819
47,2.9171935700544385,0.47936235379007314
48,2.8687417877482697,0.3973279708301984
49,2.812569114528597,0.3231983838198058
50,NA,NA
51,2.6737651359754233,0.17651940993804363
52,2.598845723627613,0.07220415325658835
53,2.5370815206896067,0.009575010919656093
54,2.470347328919311,-0.07518640906455223
55,2.3887796253962477,-0.1536079533691444
56,2.3310873430900143,-0.20955736790547688
57,2.2628976273533308,-0.3268723033249214
58,2.184693148101555,-0.39049612496345487
59,2.1188623003498663,-0.46584180713315665
60,2.054635102892276,-0.5297928377687972
61,1.9969973643311303,-0.6214063647148058
62,1.9082182314186877,-0.7122217074995817
63,1.8545832595852205,-0.7861997645847641
64,1.7647337168339732,-0.8769060920082593
65,1.6898892891897295,-0.9593534640571382
66,1.6124239116892176,-0.9577858147464894
67,1.5281938961633115,-1.0957423885081992
68,1.4610512641207445,-1.140522024246071
69,1.3741801129549491,-1.2635543940884246
70,1.3018032220682156,-1.3256452650785868
71,1.2189314480296969,-1.2337234856964645
72,1.1339345897354467,-1.4015016579973651
73,1.0599010851096806,-1.489112255952924
74,0.9760533698662638,-1.595359915222125
75,0.8842320710394371,-1.6679267146241508
76,0.8112784758704661,-1.719506733828248
77,0.7277481883470971,-1.7899723256136542
78,0.6461011037583387,-1.8739136687918483
79,0.5648029412378924,-1.93332252433847
80,0.4753996725977649,-1.9597999001510875
81,0.40104477621483137,-2.023993906783438
82,0.3207325538690589,-2.0675912060121977
83,0.23842587168397839,-2.1292639656439474
84,0.15624077735001943,-2.1490810623921726
85,0.08333995350721048,-2.2118781940845245
86,0.0031405249965958614,-2.327272805024119
87,-0.07550390028333488,-2.318775191799025
88,-0.17000599860778878,-2.339861800626076
89,-0.23628410869556632,-2.358514656340682
90,-0.32487463348293283,-2.4025636792823364
91,-0.3935654222972153,-2.5403194237628606
92,-0.4759824843029941,-2.590718275726134
93,-0.5360194114079146,-2.590783677013426
94,-0.6045814690977165,-2.58887999089905
95,-0.6641812111653255,-2.7139223814184463
96,-0.7377348342323948,-2.735778555566176
97,-0.7983991336942967,-2.632237020414912
98,-0.8428773075638758,-2.8581929994532764
99,-0.9212982231966262,-2.7395475642136264
NA,NA,NA
