YardsFromOwnEndZone,fourth_down_ep
99,3.2869066282173725
98,2.9788102708498383
97,2.9496044749104557
96,2.9288225286398046
95,2.9056994576845745
94,2.8818276368994886
93,2.8639028261469215
92,2.861231941871362
91,2.837452617007561
90,2.8177795588091827
89,2.7942109020623
88,2.776189406811147
87,2.744023863833684
86,2.7238001479182405
85,2.6742606903764514
84,2.639738775172348
83,2.591056578041217
82,2.5244986816425747
81,2.451692959685879
80,2.384892625448842
79,2.312858766073454
78,2.2465653451463132
77,2.171642240099846
76,2.106873231699403
75,2.042130911001281
74,1.9870621555465189
73,1.9103787300988617
72,1.8375522783318017
71,1.7450189273817347
70,1.666441174020464
69,1.5867409804853734
68,1.4892059327717018
67,1.4101322898964392
66,1.3375543879455503
65,1.2649699372588934
64,1.2114564459284842
63,1.167606213973681
62,1.120658374823355
61,1.0649152324432642
60,1.006719186738737
59,0.9429457970437803
58,0.857550379387702
57,0.7999426217794294
56,0.7087094427576878
55,0.6412410013823752
54,0.559985808808819
53,0.47936235379007314
52,0.3973279708301984
51,0.3231983838198058
50,NA
49,0.17651940993804363
48,0.07220415325658835
47,0.009575010919656093
46,-0.07518640906455223
45,-0.1536079533691444
44,-0.20955736790547688
43,-0.3268723033249214
42,-0.39049612496345487
41,-0.46584180713315665
40,-0.5297928377687972
39,-0.6214063647148058
38,-0.7122217074995817
37,-0.7861997645847641
36,-0.8769060920082593
35,-0.9593534640571382
34,-0.9577858147464894
33,-1.0957423885081992
32,-1.140522024246071
31,-1.2635543940884246
30,-1.3256452650785868
29,-1.2337234856964645
28,-1.4015016579973651
27,-1.489112255952924
26,-1.595359915222125
25,-1.6679267146241508
24,-1.719506733828248
23,-1.7899723256136542
22,-1.8739136687918483
21,-1.93332252433847
20,-1.9597999001510875
19,-2.023993906783438
18,-2.0675912060121977
17,-2.1292639656439474
16,-2.1490810623921726
15,-2.2118781940845245
14,-2.327272805024119
13,-2.318775191799025
12,-2.339861800626076
11,-2.358514656340682
10,-2.4025636792823364
9,-2.5403194237628606
8,-2.590718275726134
7,-2.590783677013426
6,-2.58887999089905
5,-2.7139223814184463
4,-2.735778555566176
3,-2.632237020414912
2,-2.8581929994532764
1,-2.7395475642136264
NA,NA
